Date,Close, Volume, Open, High, Low
4/30/13,1472.1,132453,1476.6,1479.5,1460.5
4/29/13,1467.4,108544,1468.2,1478.3,1461.6
4/26/13,1453.6,225714,1467.3,1484.8,1447.3
4/25/13,1462,172672,1430.3,1468.6,1426.3
4/24/13,1423.7,128366,1412.5,1433.6,1411.5
4/23/13,1408.8,193859,1425.4,1432.8,1404
4/22/13,1421.2,168458,1408.3,1438.8,1403.5
4/19/13,1395.6,181138,1393,1424.7,1385.4
4/18/13,1392.5,223011,1347.1,1402,1335.6
4/17/13,1382.7,225359,1371.4,1395.2,1365
4/16/13,1387.4,382033,1355,1404.2,1321.5
4/15/13,1361.1,41618,1355,1409,1371
4/12/13,1501.4,335420,1519.8,1564.2,1482.3
4/11/13,1564.9,124273,1559,1568.1,1553
4/10/13,1558.8,159236,1585,1588.5,1556.4
4/9/13,1586.7,116271,1572.4,1590.1,1570
4/8/13,1572.5,98283,1580.8,1582.9,1566.6
4/5/13,1575.9,175073,1554,1580.8,1549
4/4/13,1552.4,167375,1557.7,1559.3,1539.4
4/3/13,1553.5,190202,1576.4,1577.3,1549.7
4/2/13,1575.9,148979,1600.1,1604.3,1574
4/1/13,1600.9,57638,1598.1,1601.6,1595.2
3/28/13,1595.7,105714,1605.6,1608.3,1594.3
3/27/13,1607.2,152626,1601,1609,1591.9
3/26/13,1597.3,125380,1606.5,1606.9,1595.2
3/25/13,1606.5,89863,1611.4,1614.5,1590.4
3/22/13,1606.1,120029,1614,1615.3,1602.6
3/21/13,1613.8,118917,1605.7,1616.5,1603.6
3/20/13,1607.5,117351,1611.9,1613.9,1599.6
3/19/13,1611.3,151447,1603.7,1615,1599
3/18/13,1604.6,161638,1597,1610.4,1589.6
3/15/13,1592.6,89850,1589.4,1597.9,1587.3
3/14/13,1590.7,130579,1586.7,1592.2,1575.2
3/13/13,1588.4,131306,1592,1598.8,1584.4
3/12/13,1591.7,136496,1591.6,1593,1591.1
3/11/13,1578,89489,1578.3,1582.5,1574.5
3/8/13,1576.9,204775,1577.4,1583.1,1560.4
3/7/13,1575.1,133670,1583.8,1584.9,1574
3/6/13,1574.9,156735,1574.9,1584.3,1566.4
3/5/13,1574.9,132542,1574.2,1585.8,1571.1
3/4/13,1572.4,111842,1578,1584.3,1568.7
3/1/13,1572.3,175476,1578.5,1586.9,1564
2/28/13,1578.1,175844,1596.3,1602.5,1574.3
2/27/13,1595.7,155410,1613.6,1614.4,1591.4
2/26/13,1615.5,237398,1592.7,1619.7,1583.7
2/25/13,1586.6,148348,1579.7,1596.5,1574.7
2/22/13,1572.8,122936,1573,1587,1569.3
2/21/13,1578.6,202653,1564.8,1584.4,1554.3
2/20/13,1578,235506,1592.3,1609.2,1558.1
2/19/13,1604.2,199651,1609.7,1618.8,1600.2
2/15/13,1609.5,239803,1634.2,1636,1596.7
2/14/13,1635.5,155255,1642.5,1650,1632.8
2/13/13,1645.1,120297,1652.5,1655,1640.5
2/12/13,1649.6,128713,1648.6,1653.8,1639.5
2/11/13,1649.1,146045,1667.9,1670.3,1644.1
2/8/13,1666.9,88567,1671.8,1674.3,1665.8
2/7/13,1671.3,171885,1678,1683.9,1663.4
